hour,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday
0,104.96563680220206,57.90418540798587,74.69178581109928,68.46343834035208,71.58736526579516,61.64009285576312,66.64898451659045
1,145.65518185035458,78.09943155164326,69.91348918527316,69.32026802727036,74.93424735058345,64.40676757084908,71.14243802995016
2,188.33401261279283,139.53574912387208,95.73121505433456,104.29452120902981,131.4882722925146,111.26086436553373,108.30374868616703
3,149.92070051808827,136.53278098181516,92.54644092339596,131.6021159475363,132.21729723444574,98.20431787889345,99.48291648524103
4,128.68024556624079,129.58874141118685,69.42166679245737,99.40378544235561,122.84989360494832,93.85848567796745,99.37279857002932
5,105.25907632867904,103.09827326912993,65.37189266151877,93.01956768565908,105.73606140402232,81.60908204847003,89.72696636910334
6,90.96556942877965,87.6631622699302,65.28878519724684,74.63407845214711,93.92937206023919,74.92753556182974,85.7525627396059
7,79.95673785355555,74.10394412787329,66.76346523297491,68.8245194237819,86.58696843074178,69.29241764661805,78.0424448243942
8,69.07085422611,68.85544027153067,69.43710495513267,68.95407862617664,79.84099337267291,61.378728302834915,72.31804119489678
9,98.14429927483742,63.8935435580452,61.42387477549271,60.937804495238034,77.28787545746123,65.62218181619463,68.84006613682791
10,85.60126849768206,60.8780754159883,55.663172900148105,71.75238208548609,74.56332069244681,62.56072461526863,65.27280536447336
11,78.88407105386003,57.31617870250283,55.53614125312091,63.173060175013056,77.97655523361266,70.92694598577121,66.16625887783307
12,82.2443895305436,76.02571056044592,60.110893793129,64.9828740590067,87.95471890687881,69.47039949913093,73.09899810547851
13,87.50214180195479,102.4316709898176,102.20078711400998,77.6214497741767,117.73658387884623,89.97813872677636,110.48594804740966
14,89.29747872239392,117.98763141918927,125.4720129830714,82.33502548934669,110.90005058241539,94.15730652585037,107.11854441791225
15,73.64694794523855,95.32930613427523,115.05649568030731,83.4878869188024,103.79280300027027,84.60076003921009,117.22256935984339
16,64.36225050141653,84.55669513507546,102.65179408535984,86.54876866778231,104.201448275268,81.01921355256981,105.6837371589174
17,65.84005305759449,92.53051270730428,93.20796877737665,81.13114484468625,98.77330783598003,85.54123849450096,103.73419067227712
18,63.17535561377246,82.13647313667596,85.86859631085697,76.18545669342393,90.6852946052052,81.58112057928926,84.63464418563683
19,57.790658169950426,61.00671928033334,70.9906423283784,62.26724040398466,82.47097673316772,77.29600266407756,78.21009769899656
20,52.17929405946172,52.251965423990725,62.94936819743981,53.32320083335633,66.78531375244901,65.1180276060087,74.82126549807057
21,50.681263282306354,51.97578299621954,61.212260733167874,53.200589834156574,57.74557308631585,61.80076683365413,71.38600472571599
22,52.424065838484324,52.12460056844835,61.27952634324657,53.752978834956814,56.10583242018267,62.387077489871,70.64717252479001
23,72.35311839466229,55.8519895692486,65.47137913795734,54.55893926432849,62.11680603976379,63.934102431802145,73.17976889529258
